geo_id,grain,bfs_id,parent_bfs_id,no_cantonal,name_ocstat,name_sitg,abreviation,name_norm,has_polygon
6628,commune,6628,,31,Lancy,Lancy,Ly,lancy,1
6612,commune,6612,,12,Chêne-Bougeries,Chêne-Bougeries,C.Bs,chene-bougeries,1
6637,commune,6637,,40,Russin,Russin,Ru,russin,1
6631,commune,6631,,34,Onex,Onex,Ox,onex,1
6638,commune,6638,,41,Satigny,Satigny,Sy,satigny,1
6603,commune,6603,,3,Avully,Avully,Al,avully,1
6621-P.S,secteur,6621,6621,23,,Genève-Petit-Saconnex,P.S,geneve-petit-saconnex,1
6611,commune,6611,,11,Chancy,Chancy,Cy,chancy,1
6621-Pl.,secteur,6621,6621,24,,Genève-Plainpalais,Pl.,geneve-plainpalais,1
6609,commune,6609,,9,Cartigny,Cartigny,Ct,cartigny,1
6630,commune,6630,,33,Meyrin,Meyrin,Mn,meyrin,1
6601,commune,6601,,1,Aire-la-Ville,Aire-la-Ville,A.V.,aire-la-ville,1
6620,commune,6620,,20,Dardagny,Dardagny,Da,dardagny,1
6622,commune,6622,,25,Genthod,Genthod,Gd,genthod,1
6625,commune,6625,,28,Hermance,Hermance,He,hermance,1
6643,commune,6643,,46,Vernier,Vernier,Vn,vernier,1
6607,commune,6607,,7,Bernex,Bernex,Bx,bernex,1
6619,commune,6619,,19,Corsier,Corsier,Cr,corsier,1
6634,commune,6634,,37,Pregny-Chambésy,Pregny-Chambésy,Py,pregny-chambesy,1
6614,commune,6614,,14,Choulex,Choulex,Ch,choulex,1
6635,commune,6635,,38,Presinge,Presinge,Pr,presinge,1
6624,commune,6624,,27,Gy,Gy,Gy,gy,1
6605,commune,6605,,5,Bardonnex,Bardonnex,Ba,bardonnex,1
6602,commune,6602,,2,Anières,Anières,An,anieres,1
6636,commune,6636,,39,Puplinge,Puplinge,Pu,puplinge,1
6632,commune,6632,,35,Perly-Certoux,Perly-Certoux,P.C.,perly-certoux,1
6617,commune,6617,,17,Cologny,Cologny,Co,cologny,1
6621-V.G.,secteur,6621,6621,21,,Genève-Cité,V.G.,geneve-cite,1
6640,commune,6640,,43,Thônex,Thônex,Th,thonex,1
6633,commune,6633,,36,Plan-les-Ouates,Plan-les-Ouates,PLO,plan-les-ouates,1
6610,commune,6610,,10,Céligny,Céligny,Ce,celigny,1
6604,commune,6604,,4,Avusy,Avusy,As,avusy,1
6629,commune,6629,,32,Meinier,Meinier,Mr,meinier,1
6642,commune,6642,,45,Vandoeuvres,Vandoeuvres,Va,vandoeuvres,1
6639,commune,6639,,42,Soral,Soral,Sl,soral,1
6618,commune,6618,,18,Confignon,Confignon,Cn,confignon,1
6613,commune,6613,,13,Chêne-Bourg,Chêne-Bourg,C.Bg,chene-bourg,1
6644,commune,6644,,47,Versoix,Versoix,Vs,versoix,1
6623,commune,6623,,26,Grand-Saconnex,Grand-Saconnex,G.S.,grand-saconnex,1
6645,commune,6645,,48,Veyrier,Veyrier,Vy,veyrier,1
6621-E.V.,secteur,6621,6621,22,,Genève-Eaux-Vives,E.V.,geneve-eaux-vives,1
6626,commune,6626,,29,Jussy,Jussy,Ju,jussy,1
6641,commune,6641,,44,Troinex,Troinex,Tr,troinex,1
6615,commune,6615,,15,Collex-Bossy,Collex-Bossy,Cx,collex-bossy,1
6606,commune,6606,,6,Bellevue,Bellevue,Bl,bellevue,1
6608,commune,6608,,8,Carouge,Carouge,Ca,carouge,1
6616,commune,6616,,16,Collonge-Bellerive,Collonge-Bellerive,C.Be,collonge-bellerive,1
6627,commune,6627,,30,Laconnex,Laconnex,Lx,laconnex,1
0000,canton,0,,,Canton,Canton de Genève,GE,canton,0
6621,commune,6621,,,Genève,Genève,GE-Ville,geneve,0
