label,label_norm,geo_id,source
Canton,canton,0000,ocstat
Canton de Genève,canton de geneve,0000,sitg
Aire-la-Ville,aire-la-ville,6601,ocstat
Aire-la-Ville,aire-la-ville,6601,sitg
Anières,anieres,6602,ocstat
Anières,anieres,6602,sitg
Avully,avully,6603,ocstat
Avully,avully,6603,sitg
Avusy,avusy,6604,ocstat
Avusy,avusy,6604,sitg
Bardonnex,bardonnex,6605,ocstat
Bardonnex,bardonnex,6605,sitg
Bellevue,bellevue,6606,ocstat
Bellevue,bellevue,6606,sitg
Bernex,bernex,6607,ocstat
Bernex,bernex,6607,sitg
carouge (ge),carouge (ge),6608,alias
carouge ge,carouge ge,6608,alias
Carouge,carouge,6608,ocstat
Carouge,carouge,6608,sitg
Cartigny,cartigny,6609,ocstat
Cartigny,cartigny,6609,sitg
Céligny,celigny,6610,ocstat
Céligny,celigny,6610,sitg
Chancy,chancy,6611,ocstat
Chancy,chancy,6611,sitg
Chêne-Bougeries,chene-bougeries,6612,ocstat
Chêne-Bougeries,chene-bougeries,6612,sitg
Chêne-Bourg,chene-bourg,6613,ocstat
Chêne-Bourg,chene-bourg,6613,sitg
Choulex,choulex,6614,ocstat
Choulex,choulex,6614,sitg
Collex-Bossy,collex-bossy,6615,ocstat
Collex-Bossy,collex-bossy,6615,sitg
Collonge-Bellerive,collonge-bellerive,6616,ocstat
Collonge-Bellerive,collonge-bellerive,6616,sitg
Cologny,cologny,6617,ocstat
Cologny,cologny,6617,sitg
Confignon,confignon,6618,ocstat
Confignon,confignon,6618,sitg
Corsier,corsier,6619,ocstat
Corsier,corsier,6619,sitg
Dardagny,dardagny,6620,ocstat
Dardagny,dardagny,6620,sitg
Genève,geneve,6621,ocstat
Genève,geneve,6621,sitg
Genthod,genthod,6622,ocstat
Genthod,genthod,6622,sitg
le grand-saconnex,le grand-saconnex,6623,alias
Grand-Saconnex,grand-saconnex,6623,ocstat
Grand-Saconnex,grand-saconnex,6623,sitg
Gy,gy,6624,ocstat
Gy,gy,6624,sitg
Hermance,hermance,6625,ocstat
Hermance,hermance,6625,sitg
Jussy,jussy,6626,ocstat
Jussy,jussy,6626,sitg
Laconnex,laconnex,6627,ocstat
Laconnex,laconnex,6627,sitg
Lancy,lancy,6628,ocstat
Lancy,lancy,6628,sitg
Meinier,meinier,6629,ocstat
Meinier,meinier,6629,sitg
Meyrin,meyrin,6630,ocstat
Meyrin,meyrin,6630,sitg
Onex,onex,6631,ocstat
Onex,onex,6631,sitg
Perly-Certoux,perly-certoux,6632,ocstat
Perly-Certoux,perly-certoux,6632,sitg
Plan-les-Ouates,plan-les-ouates,6633,ocstat
Plan-les-Ouates,plan-les-ouates,6633,sitg
Pregny-Chambésy,pregny-chambesy,6634,ocstat
Pregny-Chambésy,pregny-chambesy,6634,sitg
Presinge,presinge,6635,ocstat
Presinge,presinge,6635,sitg
Puplinge,puplinge,6636,ocstat
Puplinge,puplinge,6636,sitg
Russin,russin,6637,ocstat
Russin,russin,6637,sitg
Satigny,satigny,6638,ocstat
Satigny,satigny,6638,sitg
Soral,soral,6639,ocstat
Soral,soral,6639,sitg
Thônex,thonex,6640,ocstat
Thônex,thonex,6640,sitg
Troinex,troinex,6641,ocstat
Troinex,troinex,6641,sitg
Vandoeuvres,vandoeuvres,6642,ocstat
Vandoeuvres,vandoeuvres,6642,sitg
Vernier,vernier,6643,ocstat
Vernier,vernier,6643,sitg
Versoix,versoix,6644,ocstat
Versoix,versoix,6644,sitg
Veyrier,veyrier,6645,ocstat
Veyrier,veyrier,6645,sitg
